Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Scott,Reid,Lanark—Frontenac—Kingston,Ontario,Conservative,10/19/15 0:00,
Hon.,Michelle,Rempel,Calgary Nose Hill,Alberta,Conservative,10/19/15 0:00,
,Blake,Richards,Banff—Airdrie,Alberta,Conservative,10/19/15 0:00,
,Jean,Rioux,Saint-Jean,Quebec,Liberal,10/19/15 0:00,
Hon.,Gerry,Ritz,Battlefords—Lloydminster,Saskatchewan,Conservative,10/19/15 0:00,10/2/17 23:59
,Yves,Robillard,Marc-Aurèle-Fortin,Quebec,Liberal,10/19/15 0:00,
Hon.,Pablo,Rodriguez,Honoré-Mercier,Quebec,Liberal,10/19/15 0:00,
,Churence,Rogers,Bonavista—Burin—Trinity,Newfoundland and Labrador,Liberal,12/11/17 0:00,
,Sherry,Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal,10/19/15 0:00,
,Anthony,Rota,Nipissing—Timiskaming,Ontario,Liberal,10/19/15 0:00,
,Kim,Rudd,Northumberland—Peterborough South,Ontario,Liberal,10/19/15 0:00,
,Dan,Ruimy,Pitt Meadows—Maple Ridge,British Columbia,Liberal,10/19/15 0:00,
,Don,Rusnak,Thunder Bay—Rainy River,Ontario,Liberal,10/19/15 0:00,
,Romeo,Saganash,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,NDP,10/19/15 0:00,
,Ruby,Sahota,Brampton North,Ontario,Liberal,10/19/15 0:00,
,Raj,Saini,Kitchener Centre,Ontario,Liberal,10/19/15 0:00,
Hon.,Harjit S.,Sajjan,Vancouver South,British Columbia,Liberal,10/19/15 0:00,
,Darrell,Samson,Sackville—Preston—Chezzetcook,Nova Scotia,Liberal,10/19/15 0:00,
,Ramesh,Sangha,Brampton Centre,Ontario,Liberal,10/19/15 0:00,
,Brigitte,Sansoucy,Saint-Hyacinthe—Bagot,Quebec,NDP,10/19/15 0:00,
,Randeep,Sarai,Surrey Centre,British Columbia,Liberal,10/19/15 0:00,
,Bob,Saroya,Markham—Unionville,Ontario,Conservative,10/19/15 0:00,
,Francis,Scarpaleggia,Lac-Saint-Louis,Quebec,Liberal,10/19/15 0:00,
Hon.,Andrew,Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative,10/19/15 0:00,
,Peter,Schiefke,Vaudreuil—Soulanges,Quebec,Liberal,10/19/15 0:00,
,Jamie,Schmale,Haliburton—Kawartha Lakes—Brock,Ontario,Conservative,10/19/15 0:00,
,Deborah,Schulte,King—Vaughan,Ontario,Liberal,10/19/15 0:00,
,Marc,Serré,Nickel Belt,Ontario,Liberal,10/19/15 0:00,
Hon.,Judy A.,Sgro,Humber River—Black Creek,Ontario,Liberal,10/19/15 0:00,
,Brenda,Shanahan,Châteauguay—Lacolle,Quebec,Liberal,10/19/15 0:00,
,Terry,Sheehan,Sault Ste. Marie,Ontario,Liberal,10/19/15 0:00,
,Martin,Shields,Bow River,Alberta,Conservative,10/19/15 0:00,
,Bev,Shipley,Lambton—Kent—Middlesex,Ontario,Conservative,10/19/15 0:00,
