"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/393221","Government","2014-03-14","antisocialbehaviourcrimeandpolicingbill.html","http://services.parliament.uk/bills/antisocialbehaviourcrimeandpolicingbill.html","Anti-social Behaviour, Crime and Policing","2013-2014","Lord Taylor of Holbeach","Anti-social Behaviour, Crime and Policing"
"http://data.parliament.uk/resources/393221","Government","2014-03-14","antisocialbehaviourcrimeandpolicingbill.html","http://services.parliament.uk/bills/antisocialbehaviourcrimeandpolicingbill.html","Anti-social Behaviour, Crime and Policing","2013-2014","Mrs Theresa May","Anti-social Behaviour, Crime and Policing"
"http://data.parliament.uk/resources/393233","Government","2014-03-14","northernirelandmiscellaneousprovisions.html","http://services.parliament.uk/bills/northernirelandmiscellaneousprovisions.html","Northern Ireland (Miscellaneous Provisions)","2013-2014","Baroness Randerson","Northern Ireland (Miscellaneous Provisions)"
"http://data.parliament.uk/resources/393233","Government","2014-03-14","northernirelandmiscellaneousprovisions.html","http://services.parliament.uk/bills/northernirelandmiscellaneousprovisions.html","Northern Ireland (Miscellaneous Provisions)","2013-2014","Mrs Theresa Villiers","Northern Ireland (Miscellaneous Provisions)"
"http://data.parliament.uk/resources/393257","Ballot","2014-03-14","citizenshiparmedforces.html","http://services.parliament.uk/bills/citizenshiparmedforces.html","Citizenship (Armed Forces)","2013-2014","Jonathan Lord","Citizenship (Armed Forces)"
"http://data.parliament.uk/resources/393257","Ballot","2014-03-14","citizenshiparmedforces.html","http://services.parliament.uk/bills/citizenshiparmedforces.html","Citizenship (Armed Forces)","2013-2014","Lord Trefgarne","Citizenship (Armed Forces)"
"http://data.parliament.uk/resources/393271","Ballot","2014-03-14","internationaldevelopmentgenderequality.html","http://services.parliament.uk/bills/internationaldevelopmentgenderequality.html","International Development (Gender Equality)","2013-2014","Lord McColl of Dulwich","International Development (Gender Equality)"
"http://data.parliament.uk/resources/393271","Ballot","2014-03-14","internationaldevelopmentgenderequality.html","http://services.parliament.uk/bills/internationaldevelopmentgenderequality.html","International Development (Gender Equality)","2013-2014","Mr William Cash","International Development (Gender Equality)"
"http://data.parliament.uk/resources/393288","Presentation","2014-03-14","leaseholdreformamendment.html","http://services.parliament.uk/bills/leaseholdreformamendment.html","Leasehold Reform (Amendment)","2013-2014","Baroness Williams of Trafford","Leasehold Reform (Amendment)"
"http://data.parliament.uk/resources/393288","Presentation","2014-03-14","leaseholdreformamendment.html","http://services.parliament.uk/bills/leaseholdreformamendment.html","Leasehold Reform (Amendment)","2013-2014","Mr Philip Hollobone","Leasehold Reform (Amendment)"
"http://data.parliament.uk/resources/393352","Government","2014-03-14","nationalinsurancecontributions.html","http://services.parliament.uk/bills/nationalinsurancecontributions.html","National Insurance Contributions","2013-2014","George Osborne","National Insurance Contributions"
"http://data.parliament.uk/resources/393352","Government","2014-03-14","nationalinsurancecontributions.html","http://services.parliament.uk/bills/nationalinsurancecontributions.html","National Insurance Contributions","2013-2014","Lord Deighton","National Insurance Contributions"
"http://data.parliament.uk/resources/393401","Government","2014-03-14","supplyandappropriationanticipationandadjustmentsbill.html","http://services.parliament.uk/bills/supplyandappropriationanticipationandadjustmentsbill.html","Supply and Appropriation (Anticipation and Adjustments)","2013-2014",,"Supply and Appropriation (Anticipation and Adjustments)"
"http://data.parliament.uk/resources/393398","HoL Private","2014-03-04","divorcefinancialprovision.html","http://services.parliament.uk/bills/divorcefinancialprovision.html","Divorce (Financial Provision)","2013-2014","Baroness Deech","Divorce (Financial Provision)"
"http://data.parliament.uk/resources/393171","Private","2014-02-11","hertfordshirecountycouncilfilmingonhighways.html","http://services.parliament.uk/bills/hertfordshirecountycouncilfilmingonhighways.html","Hertfordshire County Council (Filming on Highways)","2012-2013",,"Hertfordshire County Council (Filming on Highways)"
"http://data.parliament.uk/resources/393171","Private","2014-02-11","hertfordshirecountycouncilfilmingonhighways.html","http://services.parliament.uk/bills/hertfordshirecountycouncilfilmingonhighways.html","Hertfordshire County Council (Filming on Highways)","2013-2014",,"Hertfordshire County Council (Filming on Highways)"
"http://data.parliament.uk/resources/392371","Private","2014-02-04","leedscitycouncil.html","http://services.parliament.uk/bills/leedscitycouncil.html","Leeds City Council","2007-2008","Leeds City Council","Leeds City Council"
"http://data.parliament.uk/resources/392371","Private","2014-02-04","leedscitycouncil.html","http://services.parliament.uk/bills/leedscitycouncil.html","Leeds City Council","2008-2009","Leeds City Council","Leeds City Council"
"http://data.parliament.uk/resources/392371","Private","2014-02-04","leedscitycouncil.html","http://services.parliament.uk/bills/leedscitycouncil.html","Leeds City Council","2009-2010","Leeds City Council","Leeds City Council"
"http://data.parliament.uk/resources/392371","Private","2014-02-04","leedscitycouncil.html","http://services.parliament.uk/bills/leedscitycouncil.html","Leeds City Council","2010-2012","Leeds City Council","Leeds City Council"
"http://data.parliament.uk/resources/392371","Private","2014-02-04","leedscitycouncil.html","http://services.parliament.uk/bills/leedscitycouncil.html","Leeds City Council","2012-2013","Leeds City Council","Leeds City Council"
"http://data.parliament.uk/resources/392374","Private","2014-02-04","canterburycitycouncil.html","http://services.parliament.uk/bills/canterburycitycouncil.html","Canterbury City Council","2007-2008","Canterbury City Council","Canterbury City Council"
"http://data.parliament.uk/resources/392374","Private","2014-02-04","canterburycitycouncil.html","http://services.parliament.uk/bills/canterburycitycouncil.html","Canterbury City Council","2008-2009","Canterbury City Council","Canterbury City Council"
"http://data.parliament.uk/resources/392374","Private","2014-02-04","canterburycitycouncil.html","http://services.parliament.uk/bills/canterburycitycouncil.html","Canterbury City Council","2009-2010","Canterbury City Council","Canterbury City Council"
