"uri","bill type","date","home page","home page > uri","identifier","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/393700","Presentation","2016-04-29","houseoflordsmaximummembership.html","http://services.parliament.uk/bills/2015-16/houseoflordsmaximummembership.html","1667","House of Lords (Maximum Membership)","2015-2016","Mr Christopher Chope","House of Lords (Maximum Membership) Bill"
"http://data.parliament.uk/resources/393703","Presentation","2016-04-29","convictedprisonersvoting.html","http://services.parliament.uk/bills/2015-16/convictedprisonersvoting.html","1670","Convicted Prisoners Voting","2015-2016","Mr Christopher Chope","Convicted Prisoners Voting Bill"
"http://data.parliament.uk/resources/393705","Presentation","2016-04-29","workingtimedirectivelimitation.html","http://services.parliament.uk/bills/2015-16/workingtimedirectivelimitation.html","1672","Working Time Directive (Limitation)","2015-2016","Mr Christopher Chope","Working Time Directive (Limitation) Bill"
"http://data.parliament.uk/resources/393706","Presentation","2016-04-29","offshorewindfarmsubsidiesrestriction.html","http://services.parliament.uk/bills/2015-16/offshorewindfarmsubsidiesrestriction.html","1673","Off-Shore Wind Farm Subsidies (Restriction)","2015-2016","Mr Christopher Chope","Off-Shore Wind Farm Subsidies (Restriction) Bill"
"http://data.parliament.uk/resources/392883","Private","2016-04-28","transportforlondonhl.html","http://services.parliament.uk/bills/2015-16/transportforlondonhl.html","799","Transport for London","2010-2012",,"Transport for London Bill [HL]"
"http://data.parliament.uk/resources/392883","Private","2016-04-28","transportforlondonhl.html","http://services.parliament.uk/bills/2015-16/transportforlondonhl.html","799","Transport for London","2012-2013",,"Transport for London Bill [HL]"
"http://data.parliament.uk/resources/392883","Private","2016-04-28","transportforlondonhl.html","http://services.parliament.uk/bills/2015-16/transportforlondonhl.html","799","Transport for London","2013-2014",,"Transport for London Bill [HL]"
"http://data.parliament.uk/resources/392883","Private","2016-04-28","transportforlondonhl.html","http://services.parliament.uk/bills/2015-16/transportforlondonhl.html","799","Transport for London","2014-2015",,"Transport for London Bill [HL]"
"http://data.parliament.uk/resources/392883","Private","2016-04-28","transportforlondonhl.html","http://services.parliament.uk/bills/2015-16/transportforlondonhl.html","799","Transport for London","2015-2016",,"Transport for London Bill [HL]"
"http://data.parliament.uk/resources/393622","HoL Private","2016-04-25","counciltaxvaluationbands.html","http://services.parliament.uk/bills/2015-16/counciltaxvaluationbands.html","1587","Council Tax Valuation Bands","2015-2016","Lord Marlesford","Council Tax Valuation Bands Bill [HL]"
"http://data.parliament.uk/resources/446942","Presentation","2016-04-25","houseofcommonsmembersfund.html","http://services.parliament.uk/bills/2015-16/houseofcommonsmembersfund.html","1737","House of Commons Members' Fund","2015-2016","Mr Christopher Chope","House of Commons Members' Fund Bill"
"http://data.parliament.uk/resources/393672","Ballot","2016-04-22","homesfitnessforhumanhabitation.html","http://services.parliament.uk/bills/2015-16/homesfitnessforhumanhabitation.html","1639","Homes (Fitness for Human Habitation)","2015-2016","Ms Karen Buck","Homes (Fitness for Human Habitation) Bill"
